Year;Month;Palestinians Injuries;Israelis Injuries;Palestinians Killed;Israelis Killed;;;;;
2020;AUGUST;198;15;3;1;;;;;
2020;JULY;198;15;1;0;;;;;
2020;JUNE;198;15;1;0;;;;;
2020;MAY ;198;15;4;1;;;;;
2020;APRIL;198;15;1;0;;;;;
2020;MARCH;198;15;2;0;;;;;
2020;FEBRUARY;198;15;9;0;;;;;
2020;JANUARY;198;15;6;0;;;;;
2021;JANUARY;198;15;4;0;;;;;
2021;FEBRUARY;198;15;1;0;;;;;
2021;MARCH;198;15;4;0;;;;;
2021;APRIL;198;15;1;0;;;;;
2021;MAY;198;15;26;3;;;;;
;;;;;;;;;;
;;;;;;;;;;
Palestinians Injuries;;;Israelis Injuries;;;Palestinians Killed;;;Israelis Killed;
;;;;;;;;;;
Mean;492,22;;Mean;27,89;;Mean;40,16;;Mean;5,12
Standard Error;92,21;;Standard Error;9,44;;Standard Error;8,18;;Standard Error;0,74
Median;198,00;;Median;15,00;;Median;12,00;;Median;1,00
Mode;198,00;;Mode;15,00;;Mode;2,00;;Mode;0,00
Standard Deviation;1455,05;;Standard Deviation;148,98;;Standard Deviation;129,15;;Standard Deviation;11,65
Sample Variance;2117180,97;;Sample Variance;22195,68;;Sample Variance;16679,43;;Sample Variance;135,80
Kurtosis;57,78;;Kurtosis;239,54;;Kurtosis;96,15;;Kurtosis;44,01
Skewness;7,17;;Skewness;15,35;;Skewness;9,09;;Skewness;5,50
Range;13709;;Range;2347,00;;Range;1590,00;;Range;122,00
Minimum;26,00;;Minimum;0,00;;Minimum;0,00;;Minimum;0,00
Maximum;13735,00;;Maximum;2347,00;;Maximum;1590,00;;Maximum;122,00
Sum;122563,00;;Sum;6945,00;;Sum;10000,00;;Sum;1275,00
Count;249,00;;Count;249,00;;Count;249,00;;Count;249,00
